motor/temperature,motor/rpm,motor/current,motor/vibration/rmsX,motor/vibration/rmsY,motor/vibration/rmsZ,motor/vibration/crestX,motor/vibration/crestY,motor/vibration/crestZ
24.85,620,3.67,0.0068,0.0099,1.0252,1.5406,1.6803,1.0357

24.85,620,3.67,0.0067,0.0099,1.0252,1.5406,1.6803,1.0357

24.85,620,3.67,0.0067,0.0099,1.0252,1.5406,1.6803,1.0357

24.85,620,3.67,0.0067,0.0099,1.0248,1.5406,1.6803,1.0357

24.85,620,3.67,0.0067,0.0099,1.0248,1.484,1.6803,1.0357

24.85,620,3.67,0.0067,0.0099,1.0248,1.484,1.6469,1.0357

24.85,620,3.67,0.0067,0.0099,1.0248,1.484,1.6469,1.0357

24.85,620,3.67,0.0067,0.0099,1.0248,1.484,1.6469,1.0357

24.83,620,3.67,0.0067,0.0099,1.0248,1.484,1.6469,1.0357

24.83,620,3.64,0.0067,0.0099,1.0248,1.484,1.6469,1.0357

24.83,620,3.64,0.0068,0.0099,1.0248,1.484,1.6469,1.0357

24.83,620,3.64,0.0068,0.0098,1.0248,1.484,1.6469,1.0357

24.83,620,3.64,0.0068,0.0098,1.0255,1.484,1.6469,1.0357

24.83,620,3.64,0.0068,0.0098,1.0255,1.4859,1.6469,1.0357

24.83,620,3.64,0.0068,0.0098,1.0255,1.4859,1.6325,1.0357

24.83,620,3.64,0.0068,0.0098,1.0255,1.4859,1.6325,1.036

24.83,600,3.64,0.0068,0.0098,1.0255,1.4859,1.6325,1.036

24.82,600,3.64,0.0068,0.0098,1.0255,1.4859,1.6325,1.036

24.82,600,3.67,0.0068,0.0098,1.0255,1.4859,1.6325,1.036

24.82,600,3.67,0.0069,0.0098,1.0255,1.4859,1.6325,1.036

24.82,600,3.67,0.0069,0.0097,1.0255,1.4859,1.6325,1.036

24.82,600,3.67,0.0069,0.0097,1.0258,1.4859,1.6325,1.036

24.82,600,3.67,0.0069,0.0097,1.0258,1.4925,1.6325,1.036

24.82,600,3.67,0.0069,0.0097,1.0258,1.4925,1.6908,1.036

24.82,600,3.67,0.0069,0.0097,1.0258,1.4925,1.6908,1.035

24.82,620,3.67,0.0069,0.0097,1.0258,1.4925,1.6908,1.035

24.81,620,3.67,0.0069,0.0097,1.0258,1.4925,1.6908,1.035

24.81,620,3.64,0.0069,0.0097,1.0258,1.4925,1.6908,1.035

24.81,620,3.64,0.0068,0.0097,1.0258,1.4925,1.6908,1.035

24.81,620,3.64,0.0068,0.0098,1.0258,1.4925,1.6908,1.035

24.81,620,3.64,0.0068,0.0098,1.0254,1.4925,1.6908,1.035

24.81,620,3.64,0.0068,0.0098,1.0254,1.4756,1.6908,1.035

24.81,620,3.64,0.0068,0.0098,1.0254,1.4756,1.6713,1.035

24.81,620,3.64,0.0068,0.0098,1.0254,1.4756,1.6713,1.0357

24.81,620,3.64,0.0068,0.0098,1.0254,1.4756,1.6713,1.0357

24.8,620,3.64,0.0068,0.0098,1.0254,1.4756,1.6713,1.0357

24.8,620,3.67,0.0068,0.0098,1.0254,1.4756,1.6713,1.0357

24.8,620,3.67,0.0067,0.0098,1.0254,1.4756,1.6713,1.0357

24.8,620,3.67,0.0067,0.0098,1.0254,1.4756,1.6713,1.0357

24.8,620,3.67,0.0067,0.0098,1.0251,1.4756,1.6713,1.0357

24.8,620,3.67,0.0067,0.0098,1.0251,1.5212,1.6713,1.0357

24.8,620,3.67,0.0067,0.0098,1.0251,1.5212,1.6714,1.0357

24.8,620,3.67,0.0067,0.0098,1.0251,1.5212,1.6714,1.0364

24.8,600,3.67,0.0067,0.0098,1.0251,1.5212,1.6714,1.0364

24.8,600,3.67,0.0067,0.0098,1.0251,1.5212,1.6714,1.0364

24.8,600,3.67,0.0067,0.0098,1.0251,1.5212,1.6714,1.0364

24.8,600,3.67,0.0068,0.0098,1.0251,1.5212,1.6714,1.0364

24.8,600,3.67,0.0068,0.0097,1.0251,1.5212,1.6714,1.0364

24.8,600,3.67,0.0068,0.0097,1.0255,1.5212,1.6714,1.0364

24.8,600,3.67,0.0068,0.0097,1.0255,1.5294,1.6714,1.0364

